1	2831	847	1653	177	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1377	1164	3314	54	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1832	1606	2037	206	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	917	2384	2921	62	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	435	2590	1793	540	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	388	2739	2226	340	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	1.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86	0	0	0	0	0	0	0	0	0	0	0	0
