COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  SprPuw    201820931050 St0075  15       23.1
  ResStm    201820931050 St0075  15       14.1
  ResRot    201820931050 St0075  15       12.9
  PinTim    201820931050 St0075  19      112.1
  SprTim    201820931050 St0075  19      120.8
  PinPuw    201820931050 St0075  19       37.0
  SprPuw    201820931050 St0075  19       81.4
  Decids    201820931050 St0075  19        1.7
  ResStm    201820931050 St0075  19       50.8
  ResRot    201820931050 St0075  19       50.9
  PinPuw    201820931050 St0076  11       14.4
  SprPuw    201820931050 St0076  11       12.1
  Decids    201820931050 St0076  11       12.3
  ResRot    201820931050 St0076  11        6.4
  PinTim    201820931050 St0076  15       24.2
  SprTim    201820931050 St0076  15       20.0
  PinPuw    201820931050 St0076  15       13.7
  SprPuw    201820931050 St0076  15       23.1
  ResStm    201820931050 St0076  15       14.1
  ResRot    201820931050 St0076  15       12.9
  PinTim    201820931050 St0076  18       99.1
  SprTim    201820931050 St0076  18      102.4
  PinPuw    201820931050 St0076  18       36.8
  SprPuw    201820931050 St0076  18       76.0
  Decids    201820931050 St0076  18        1.6
  ResStm    201820931050 St0076  18       46.8
  ResRot    201820931050 St0076  18       45.8
  PinPuw    201820931050 St0077  11       14.4
  SprPuw    201820931050 St0077  11       12.1
  Decids    201820931050 St0077  11       12.3
  ResRot    201820931050 St0077  11        6.4
  PinTim    201820931050 St0077  15       80.8
  SprTim    201820931050 St0077  15       66.6
  PinPuw    201820931050 St0077  15       45.8
  SprPuw    201820931050 St0077  15       77.1
  Decids    201820931050 St0077  15        1.4
  ResStm    201820931050 St0077  15       45.1
  ResRot    201820931050 St0077  15       41.2
  PinPuw    201820931050 St0079  10       16.4
  SprPuw    201820931050 St0079  10       12.0
  ResRot    201820931050 St0079  10        4.9
  PinPuw    201820931050 St0080  10       16.4
  SprPuw    201820931050 St0080  10       12.0
  ResRot    201820931050 St0080  10        4.9
  SprTim    201820931050 St0080  22       23.6
  PinPuw    201820931050 St0080  22       23.4
  SprPuw    201820931050 St0080  22       11.8
  Decids    201820931050 St0080  22      127.8
  ResStm    201820931050 St0080  22       34.4
  ResRot    201820931050 St0080  22       29.9
  PinPuw    201820931050 St0081  10       16.4
  SprPuw    201820931050 St0081  10       12.0
  ResRot    201820931050 St0081  10        4.9
  PinTim    201820931050 St0081  22      141.8
  SprTim    201820931050 St0081  22      176.0
  PinPuw    201820931050 St0081  22       32.4
  SprPuw    201820931050 St0081  22       87.7
  Decids    201820931050 St0081  22      142.0
  ResStm    201820931050 St0081  22       86.5
  ResRot    201820931050 St0081  22       84.0
  PinPuw    201820931050 St0082  10       16.4
  SprPuw    201820931050 St0082  10       12.0
  ResRot    201820931050 St0082  10        4.9
  SprTim    201820931050 St0082  21       21.9
  PinPuw    201820931050 St0082  21       22.9
  SprPuw    201820931050 St0082  21       11.9
  Decids    201820931050 St0082  21      117.7
  ResStm    201820931050 St0082  21       32.3
  ResRot    201820931050 St0082  21       28.1
  PinPuw    201820931050 St0083  10       16.4
  SprPuw    201820931050 St0083  10       12.0
  ResRot    201820931050 St0083  10        4.9
  PinTim    201820931050 St0083  21      134.0
  SprTim    201820931050 St0083  21      160.6
  PinPuw    201820931050 St0083  21       34.1
  SprPuw    201820931050 St0083  21       86.8
  Decids    201820931050 St0083  21      130.8
  ResStm    201820931050 St0083  21       82.3
  ResRot    201820931050 St0083  21       79.6
  PinPuw    201820931050 St0084  10       16.4
  SprPuw    201820931050 St0084  10       12.0
  ResRot    201820931050 St0084  10        4.9
  SprTim    201820931050 St0084  20       20.1
  PinPuw    201820931050 St0084  20       22.4
  SprPuw    201820931050 St0084  20       11.9
  Decids    201820931050 St0084  20      107.1
  ResStm    201820931050 St0084  20       30.0
  ResRot    201820931050 St0084  20       26.1
  PinPuw    201820931050 St0085  10       16.4
  SprPuw    201820931050 St0085  10       12.0
  ResRot    201820931050 St0085  10        4.9
  PinTim    201820931050 St0085  20      125.4
  SprTim    201820931050 St0085  20      144.6
  PinPuw    201820931050 St0085  20       35.5
  SprPuw    201820931050 St0085  20       85.2
  Decids    201820931050 St0085  20      119.0
  ResStm    201820931050 St0085  20       77.8
  ResRot    201820931050 St0085  20       74.7
  PinPuw    201820931050 St0086  10       16.4
  SprPuw    201820931050 St0086  10       12.0
  ResRot    201820931050 St0086  10        4.9
  PinPuw    201820931050 St0086  19       21.7
  SprPuw    201820931050 St0086  19       30.0
  Decids    201820931050 St0086  19       96.0
  ResStm    201820931050 St0086  19       27.6
  ResRot    201820931050 St0086  19       24.0
  PinPuw    201820931050 St0087  10       16.4
  SprPuw    201820931050 St0087  10       12.0
  ResRot    201820931050 St0087  10        4.9
  PinPuw    201820931050 St0087  19       21.7
  SprPuw    201820931050 St0087  19       30.0
  Decids    201820931050 St0087  19       96.0
  ResStm    201820931050 St0087  19       27.6
  ResRot    201820931050 St0087  19       24.0
  PinTim    201820931050 St0087  22      137.6
  SprTim    201820931050 St0087  22      170.3
  PinPuw    201820931050 St0087  22       29.2
  SprPuw    201820931050 St0087  22       84.4
  Decids    201820931050 St0087  22       16.8
  ResStm    201820931050 St0087  22       60.4
  ResRot    201820931050 St0087  22       61.5
  PinPuw    201820931050 St0088  10       16.4
  SprPuw    201820931050 St0088  10       12.0
  ResRot    201820931050 St0088  10        4.9
  PinTim    201820931050 St0088  19      116.0
  SprTim    201820931050 St0088  19      128.1
  PinPuw    201820931050 St0088  19       36.5
  SprPuw    201820931050 St0088  19       82.7
  Decids    201820931050 St0088  19      106.7
  ResStm    201820931050 St0088  19       72.9
  ResRot    201820931050 St0088  19       69.3
  PinPuw    201820931050 St0089  10       16.4
  SprPuw    201820931050 St0089  10       12.0
  ResRot    201820931050 St0089  10        4.9
  PinPuw    201820931050 St0089  18       20.8
  SprPuw    201820931050 St0089  18       27.8
  Decids    201820931050 St0089  18       84.6
  ResStm    201820931050 St0089  18       25.1
  ResRot    201820931050 St0089  18       21.7
  PinPuw    201820931050 St0090  10       16.4
  SprPuw    201820931050 St0090  10       12.0
  ResRot    201820931050 St0090  10        4.9
  PinPuw    201820931050 St0090  18       20.8
  SprPuw    201820931050 St0090  18       27.8
  Decids    201820931050 St0090  18       84.6
  ResStm    201820931050 St0090  18       25.1
  ResRot    201820931050 St0090  18       21.7
  PinTim    201820931050 St0090  22      141.1
  SprTim    201820931050 St0090  22      173.3
  PinPuw    201820931050 St0090  22       29.5
  SprPuw    201820931050 St0090  22       86.6
  Decids    201820931050 St0090  22       17.4
  ResStm    201820931050 St0090  22       61.8
  ResRot    201820931050 St0090  22       63.0
  PinPuw    201820931050 St0091  10       16.4
  SprPuw    201820931050 St0091  10       12.0
  ResRot    201820931050 St0091  10        4.9
  PinPuw    201820931050 St0091  18       20.8
  SprPuw    201820931050 St0091  18       27.8
  Decids    201820931050 St0091  18       84.6
  ResStm    201820931050 St0091  18       25.1
  ResRot    201820931050 St0091  18       21.7
  PinTim    201820931050 St0091  21      129.8
  SprTim    201820931050 St0091  21      155.3
  PinPuw    201820931050 St0091  21       30.6
  SprPuw    201820931050 St0091  21       83.1
  Decids    201820931050 St0091  21       15.6
  ResStm    201820931050 St0091  21       57.9
  ResRot    201820931050 St0091  21       58.5
  PinPuw    201820931050 St0092  10       16.4
  SprPuw    201820931050 St0092  10       12.0
  ResRot    201820931050 St0092  10        4.9
  PinTim    201820931050 St0092  18      106.0
  SprTim    201820931050 St0092  18      111.4
  PinPuw    201820931050 St0092  18       37.2
  SprPuw    201820931050 St0092  18       79.4
  Decids    201820931050 St0092  18       94.0
  ResStm    201820931050 St0092  18       67.6
  ResRot    201820931050 St0092  18       63.6
  PinPuw    201820931050 St0093  10       16.4
  SprPuw    201820931050 St0093  10       12.0
  ResRot    201820931050 St0093  10        4.9
  PinPuw    201820931050 St0093  17       19.8
  SprPuw    201820931050 St0093  17       25.3
  Decids    201820931050 St0093  17       72.9
  ResStm    201820931050 St0093  17       22.4
  ResRot    201820931050 St0093  17       19.4
  PinPuw    201820931050 St0094  10       16.4
  SprPuw    201820931050 St0094  10       12.0
  ResRot    201820931050 St0094  10        4.9
  PinPuw    201820931050 St0094  17       19.8
  SprPuw    201820931050 St0094  17       25.3
  Decids    201820931050 St0094  17       72.9
  ResStm    201820931050 St0094  17       22.4
  ResRot    201820931050 St0094  17       19.4
  PinTim    201820931050 St0094  22      144.5
  SprTim    201820931050 St0094  22      176.2
  PinPuw    201820931050 St0094  22       29.8
  SprPuw    201820931050 St0094  22       88.7
  Decids    201820931050 St0094  22       18.0
  ResStm    201820931050 St0094  22       63.1
  ResRot    201820931050 St0094  22       64.4
  PinPuw    201820931050 St0095  10       16.4
  SprPuw    201820931050 St0095  10       12.0
  ResRot    201820931050 St0095  10        4.9
  PinPuw    201820931050 St0095  17       19.8
  SprPuw    201820931050 St0095  17       25.3
  Decids    201820931050 St0095  17       72.9
  ResStm    201820931050 St0095  17       22.4
  ResRot    201820931050 St0095  17       19.4
  PinTim    201820931050 St0095  21      133.2
  SprTim    201820931050 St0095  21      158.1
  PinPuw    201820931050 St0095  21       31.0
  SprPuw    201820931050 St0095  21       85.3
  Decids    201820931050 St0095  21       16.1
  ResStm    201820931050 St0095  21       59.3
  ResRot    201820931050 St0095  21       59.9
  PinPuw    201820931050 St0096  10       16.4
  SprPuw    201820931050 St0096  10       12.0
  ResRot    201820931050 St0096  10        4.9
  PinPuw    201820931050 St0096  17       19.8
  SprPuw    201820931050 St0096  17       25.3
  Decids    201820931050 St0096  17       72.9
  ResStm    201820931050 St0096  17       22.4
  ResRot    201820931050 St0096  17       19.4
  PinTim    201820931050 St0096  20      121.4
  SprTim    201820931050 St0096  20      139.8
  PinPuw    201820931050 St0096  20       31.9
  SprPuw    201820931050 St0096  20       81.2
  Decids    201820931050 St0096  20       14.2
  ResStm    201820931050 St0096  20       55.3
  ResRot    201820931050 St0096  20       55.3
  PinPuw    201820931050 St0097  10       16.4
  SprPuw    201820931050 St0097  10       12.0
  ResRot    201820931050 St0097  10        4.9
  PinTim    201820931050 St0097  17       95.3
  SprTim    201820931050 St0097  17       94.5
  PinPuw    201820931050 St0097  17       37.4
  SprPuw    201820931050 St0097  17       75.1
  Decids    201820931050 St0097  17       81.0
  ResStm    201820931050 St0097  17       62.0
  ResRot    201820931050 St0097  17       57.4
  PinPuw    201820931050 St0098  10       16.4
  SprPuw    201820931050 St0098  10       12.0
  ResRot    201820931050 St0098  10        4.9
  PinPuw    201820931050 St0098  16       18.6
  SprPuw    201820931050 St0098  16       22.7
  Decids    201820931050 St0098  16       61.5
  ResStm    201820931050 St0098  16       19.8
  ResRot    201820931050 St0098  16       17.0
  PinPuw    201820931050 St0099  10       16.4
  SprPuw    201820931050 St0099  10       12.0
  ResRot    201820931050 St0099  10        4.9
  PinPuw    201820931050 St0099  16       18.6
  SprPuw    201820931050 St0099  16       22.7
  Decids    201820931050 St0099  16       61.5
  ResStm    201820931050 St0099  16       19.8
  ResRot    201820931050 St0099  16       17.0
  PinTim    201820931050 St0099  22      147.9
  SprTim    201820931050 St0099  22      179.1
  PinPuw    201820931050 St0099  22       30.1
  SprPuw    201820931050 St0099  22       90.8
  Decids    201820931050 St0099  22       18.5
  ResStm    201820931050 St0099  22       64.3
  ResRot    201820931050 St0099  22       65.8
  PinPuw    201820931050 St0100  10       16.4
  SprPuw    201820931050 St0100  10       12.0
  ResRot    201820931050 St0100  10        4.9
  PinPuw    201820931050 St0100  16       18.6
  SprPuw    201820931050 St0100  16       22.7
  Decids    201820931050 St0100  16       61.5
  ResStm    201820931050 St0100  16       19.8
  ResRot    201820931050 St0100  16       17.0
  PinTim    201820931050 St0100  21      136.6
  SprTim    201820931050 St0100  21      160.8
  PinPuw    201820931050 St0100  21       31.4
  SprPuw    201820931050 St0100  21       87.4
  Decids    201820931050 St0100  21       16.6
  ResStm    201820931050 St0100  21       60.6
  ResRot    201820931050 St0100  21       61.3
  PinPuw    201820931050 St0101  10       16.4
  SprPuw    201820931050 St0101  10       12.0
  ResRot    201820931050 St0101  10        4.9
  PinPuw    201820931050 St0101  16       18.6
  SprPuw    201820931050 St0101  16       22.7
  Decids    201820931050 St0101  16       61.5
  ResStm    201820931050 St0101  16       19.8
  ResRot    201820931050 St0101  16       17.0
  PinTim    201820931050 St0101  20      124.8
  SprTim    201820931050 St0101  20      142.5
  PinPuw    201820931050 St0101  20       32.3
  SprPuw    201820931050 St0101  20       83.4
  Decids    201820931050 St0101  20       14.7
  ResStm    201820931050 St0101  20       56.7
  ResRot    201820931050 St0101  20       56.7
  PinPuw    201820931050 St0102  10       16.4
  SprPuw    201820931050 St0102  10       12.0
  ResRot    201820931050 St0102  10        4.9
  PinPuw    201820931050 St0102  16       18.6
  SprPuw    201820931050 St0102  16       22.7
  Decids    201820931050 St0102  16       61.5
  ResStm    201820931050 St0102  16       19.8
  ResRot    201820931050 St0102  16       17.0
  PinTim    201820931050 St0102  19      112.5
  SprTim    201820931050 St0102  19      124.2
  PinPuw    201820931050 St0102  19       32.9
  SprPuw    201820931050 St0102  19       78.7
  Decids    201820931050 St0102  19       12.8
  ResStm    201820931050 St0102  19       52.5
  ResRot    201820931050 St0102  19       51.7
  PinPuw    201820931050 St0103  10       16.4
  SprPuw    201820931050 St0103  10       12.0
  ResRot    201820931050 St0103  10        4.9
  PinTim    201820931050 St0103  16       84.1
  SprTim    201820931050 St0103  16       78.0
  PinPuw    201820931050 St0103  16       37.1
  SprPuw    201820931050 St0103  16       70.0
  Decids    201820931050 St0103  16       68.3
  ResStm    201820931050 St0103  16       56.1
  ResRot    201820931050 St0103  16       51.0
  PinPuw    201820931050 St0104  10       16.4
  SprPuw    201820931050 St0104  10       12.0
  ResRot    201820931050 St0104  10        4.9
  PinPuw    201820931050 St0104  15       17.1
  SprPuw    201820931050 St0104  15       19.9
  Decids    201820931050 St0104  15       50.4
  ResStm    201820931050 St0104  15       17.1
  ResRot    201820931050 St0104  15       14.5
  PinPuw    201820931050 St0105  10       16.4
  SprPuw    201820931050 St0105  10       12.0
  ResRot    201820931050 St0105  10        4.9
  PinPuw    201820931050 St0105  15       17.1
  SprPuw    201820931050 St0105  15       19.9
  Decids    201820931050 St0105  15       50.4
  ResStm    201820931050 St0105  15       17.1
  ResRot    201820931050 St0105  15       14.5
  PinTim    201820931050 St0105  22      150.2
  SprTim    201820931050 St0105  22      181.9
  PinPuw    201820931050 St0105  22       30.6
  SprPuw    201820931050 St0105  22       92.9
  Decids    201820931050 St0105  22       19.0
  ResStm    201820931050 St0105  22       65.5
  ResRot    201820931050 St0105  22       67.0
  PinPuw    201820931050 St0106  10       16.4
  SprPuw    201820931050 St0106  10       12.0
  ResRot    201820931050 St0106  10        4.9
  PinPuw    201820931050 St0106  15       17.1
  SprPuw    201820931050 St0106  15       19.9
  Decids    201820931050 St0106  15       50.4
  ResStm    201820931050 St0106  15       17.1
  ResRot    201820931050 St0106  15       14.5
  PinTim    201820931050 St0106  21      139.4
  SprTim    201820931050 St0106  21      163.6
  PinPuw    201820931050 St0106  21       31.9
  SprPuw    201820931050 St0106  21       89.6
  Decids    201820931050 St0106  21       17.1
  ResStm    201820931050 St0106  21       61.7
  ResRot    201820931050 St0106  21       62.7
  PinPuw    201820931050 St0107  10       16.4
  SprPuw    201820931050 St0107  10       12.0
  ResRot    201820931050 St0107  10        4.9
  PinPuw    201820931050 St0107  15       17.1
  SprPuw    201820931050 St0107  15       19.9
  Decids    201820931050 St0107  15       50.4
  ResStm    201820931050 St0107  15       17.1
  ResRot    201820931050 St0107  15       14.5
  PinTim    201820931050 St0107  20      127.6
  SprTim    201820931050 St0107  20      145.1
  PinPuw    201820931050 St0107  20       32.8
  SprPuw    201820931050 St0107  20       85.6
  Decids    201820931050 St0107  20       15.2
  ResStm    201820931050 St0107  20       57.9
  ResRot    201820931050 St0107  20       58.0
  PinPuw    201820931050 St0108  10       16.4
  SprPuw    201820931050 St0108  10       12.0
  ResRot    201820931050 St0108  10        4.9
  PinPuw    201820931050 St0108  15       17.1
  SprPuw    201820931050 St0108  15       19.9
  Decids    201820931050 St0108  15       50.4
  ResStm    201820931050 St0108  15       17.1
  ResRot    201820931050 St0108  15       14.5
  PinTim    201820931050 St0108  19       34.6
  SprTim    201820931050 St0108  19       38.0
  PinPuw    201820931050 St0108  19       10.0
  SprPuw    201820931050 St0108  19       24.3
  Decids    201820931050 St0108  19        3.2
  ResStm    201820931050 St0108  19       17.0
  ResRot    201820931050 St0108  19       16.8
  PinPuw    201820931050 St0109  10       16.4
  SprPuw    201820931050 St0109  10       12.0
  ResRot    201820931050 St0109  10        4.9
  PinPuw    201820931050 St0109  15       17.1
  SprPuw    201820931050 St0109  15       19.9
  Decids    201820931050 St0109  15       50.4
  ResStm    201820931050 St0109  15       17.1
  ResRot    201820931050 St0109  15       14.5
  PinTim    201820931050 St0109  19       34.6
  SprTim    201820931050 St0109  19       38.0
  PinPuw    201820931050 St0109  19       10.0
  SprPuw    201820931050 St0109  19       24.3
  Decids    201820931050 St0109  19        3.2
  ResStm    201820931050 St0109  19       17.0
  ResRot    201820931050 St0109  19       16.8
  PinTim    201820931050 St0109  22      117.0
  SprTim    201820931050 St0109  22      144.6
  PinPuw    201820931050 St0109  22       21.7
  SprPuw    201820931050 St0109  22       71.7
  Decids    201820931050 St0109  22       14.8
  ResStm    201820931050 St0109  22       52.2
  ResRot    201820931050 St0109  22       51.3
  PinPuw    201820931050 St0110  10       16.4
  SprPuw    201820931050 St0110  10       12.0
  ResRot    201820931050 St0110  10        4.9
  PinPuw    201820931050 St0110  15       17.1
  SprPuw    201820931050 St0110  15       19.9
  Decids    201820931050 St0110  15       50.4
  ResStm    201820931050 St0110  15       17.1
  ResRot    201820931050 St0110  15       14.5
  PinTim    201820931050 St0110  19      115.3
  SprTim    201820931050 St0110  19      126.6
  PinPuw    201820931050 St0110  19       33.4
  SprPuw    201820931050 St0110  19       80.9
  Decids    201820931050 St0110  19       13.2
  ResStm    201820931050 St0110  19       53.8
  ResRot    201820931050 St0110  19       53.1
  PinPuw    201820931050 St0111  10       16.4
  SprPuw    201820931050 St0111  10       12.0
  ResRot    201820931050 St0111  10        4.9
  PinPuw    201820931050 St0111  15       17.1
  SprPuw    201820931050 St0111  15       19.9
  Decids    201820931050 St0111  15       50.4
  ResStm    201820931050 St0111  15       17.1
  ResRot    201820931050 St0111  15       14.5
  PinTim    201820931050 St0111  18      102.7
  SprTim    201820931050 St0111  18      108.5
  PinPuw    201820931050 St0111  18       33.6
  SprPuw    201820931050 St0111  18       75.6
  Decids    201820931050 St0111  18       11.4
  ResStm    201820931050 St0111  18       49.5
  ResRot    201820931050 St0111  18       47.9
  PinPuw    201820931050 St0112  10       16.4
  SprPuw    201820931050 St0112  10       12.0
  ResRot    201820931050 St0112  10        4.9
  PinTim    201820931050 St0112  15       72.1
  SprTim    201820931050 St0112  15       62.2
  PinPuw    201820931050 St0112  15       36.2
  SprPuw    201820931050 St0112  15       64.1
  Decids    201820931050 St0112  15       56.0
  ResStm    201820931050 St0112  15       50.1
  ResRot    201820931050 St0112  15       44.3
  PinPuw    201820931050 St0114  10       16.4
  SprPuw    201820931050 St0114  10       12.0
  ResRot    201820931050 St0114  10        4.9
  PinPuw    201820931050 St0114  14       15.3
  SprPuw    201820931050 St0114  14       16.9
  Decids    201820931050 St0114  14       40.0
  ResStm    201820931050 St0114  14       14.2
  ResRot    201820931050 St0114  14       11.9
  PinPuw    201820931050 St0115  10       16.4
  SprPuw    201820931050 St0115  10       12.0
  ResRot    201820931050 St0115  10        4.9
  PinPuw    201820931050 St0115  14       15.3
  SprPuw    201820931050 St0115  14       16.9
  Decids    201820931050 St0115  14       40.0
  ResStm    201820931050 St0115  14       14.2
  ResRot    201820931050 St0115  14       11.9
  PinTim    201820931050 St0115  22      152.2
  SprTim    201820931050 St0115  22      184.5
  PinPuw    201820931050 St0115  22       31.1
  SprPuw    201820931050 St0115  22       94.9
  Decids    201820931050 St0115  22       19.6
  ResStm    201820931050 St0115  22       66.5
  ResRot    201820931050 St0115  22       68.2
  PinPuw    201820931050 St0116  10       16.4
  SprPuw    201820931050 St0116  10       12.0
  ResRot    201820931050 St0116  10        4.9
  PinPuw    201820931050 St0116  14       15.3
  SprPuw    201820931050 St0116  14       16.9
  Decids    201820931050 St0116  14       40.0
  ResStm    201820931050 St0116  14       14.2
  ResRot    201820931050 St0116  14       11.9
  PinTim    201820931050 St0116  21       42.5
  SprTim    201820931050 St0116  21       49.8
  PinPuw    201820931050 St0116  21        9.7
  SprPuw    201820931050 St0116  21       27.5
  Decids    201820931050 St0116  21        5.3
  ResStm    201820931050 St0116  21       20.0
  ResRot    201820931050 St0116  21       20.3
  PinPuw    201820931050 St0117  10       16.4
  SprPuw    201820931050 St0117  10       12.0
  ResRot    201820931050 St0117  10        4.9
  PinPuw    201820931050 St0117  14       15.3
  SprPuw    201820931050 St0117  14       16.9
  Decids    201820931050 St0117  14       40.0
  ResStm    201820931050 St0117  14       14.2
  ResRot    201820931050 St0117  14       11.9
  PinTim    201820931050 St0117  21      141.5
  SprTim    201820931050 St0117  21      166.1
  PinPuw    201820931050 St0117  21       32.3
  SprPuw    201820931050 St0117  21       91.6
  Decids    201820931050 St0117  21       17.6
  ResStm    201820931050 St0117  21       62.8
  ResRot    201820931050 St0117  21       63.8
  PinPuw    201820931050 St0118  10       16.4
  SprPuw    201820931050 St0118  10       12.0
  ResRot    201820931050 St0118  10        4.9
  PinPuw    201820931050 St0118  14       15.3
  SprPuw    201820931050 St0118  14       16.9
  Decids    201820931050 St0118  14       40.0
  ResStm    201820931050 St0118  14       14.2
  ResRot    201820931050 St0118  14       11.9
  PinTim    201820931050 St0118  20       39.1
  SprTim    201820931050 St0118  20       44.3
  PinPuw    201820931050 St0118  20       10.0
  SprPuw    201820931050 St0118  20       26.3
  Decids    201820931050 St0118  20        3.9
  ResStm    201820931050 St0118  20       18.7
  ResRot    201820931050 St0118  20       18.8
  PinPuw    201820931050 St0119  10       16.4
  SprPuw    201820931050 St0119  10       12.0
  ResRot    201820931050 St0119  10        4.9
  PinPuw    201820931050 St0119  14       15.3
  SprPuw    201820931050 St0119  14       16.9
  Decids    201820931050 St0119  14       40.0
  ResStm    201820931050 St0119  14       14.2
  ResRot    201820931050 St0119  14       11.9
  PinTim    201820931050 St0119  20      130.3
  SprTim    201820931050 St0119  20      147.6
  PinPuw    201820931050 St0119  20       33.3
  SprPuw    201820931050 St0119  20       87.7
  Decids    201820931050 St0119  20       15.6
  ResStm    201820931050 St0119  20       59.0
  ResRot    201820931050 St0119  20       59.2
  PinPuw    201820931050 St0120  10       16.4
  SprPuw    201820931050 St0120  10       12.0
  ResRot    201820931050 St0120  10        4.9
  PinPuw    201820931050 St0120  14       15.3
  SprPuw    201820931050 St0120  14       16.9
  Decids    201820931050 St0120  14       40.0
  ResStm    201820931050 St0120  14       14.2
  ResRot    201820931050 St0120  14       11.9
  PinTim    201820931050 St0120  19       35.4
  SprTim    201820931050 St0120  19       38.7
  PinPuw    201820931050 St0120  19       10.2
  SprPuw    201820931050 St0120  19       24.9
  Decids    201820931050 St0120  19        3.4
  ResStm    201820931050 St0120  19       17.4
  ResRot    201820931050 St0120  19       17.2
  PinPuw    201820931050 St0121  10       16.4
  SprPuw    201820931050 St0121  10       12.0
  ResRot    201820931050 St0121  10        4.9
  PinPuw    201820931050 St0121  14       15.3
  SprPuw    201820931050 St0121  14       16.9
  Decids    201820931050 St0121  14       40.0
  ResStm    201820931050 St0121  14       14.2
  ResRot    201820931050 St0121  14       11.9
  PinTim    201820931050 St0121  19       35.4
  SprTim    201820931050 St0121  19       38.7
  PinPuw    201820931050 St0121  19       10.2
  SprPuw    201820931050 St0121  19       24.9
  Decids    201820931050 St0121  19        3.4
  ResStm    201820931050 St0121  19       17.4
  ResRot    201820931050 St0121  19       17.2
  PinTim    201820931050 St0121  22      118.9
  SprTim    201820931050 St0121  22      146.7
  PinPuw    201820931050 St0121  22       21.9
  SprPuw    201820931050 St0121  22       73.1
  Decids    201820931050 St0121  22       15.2
  ResStm    201820931050 St0121  22       53.1
  ResRot    201820931050 St0121  22       52.2
  PinPuw    201820931050 St0122  10       16.4
  SprPuw    201820931050 St0122  10       12.0
  ResRot    201820931050 St0122  10        4.9
  PinPuw    201820931050 St0122  14       15.3
  SprPuw    201820931050 St0122  14       16.9
  Decids    201820931050 St0122  14       40.0
  ResStm    201820931050 St0122  14       14.2
  ResRot    201820931050 St0122  14       11.9
  PinTim    201820931050 St0122  19      118.0
  SprTim    201820931050 St0122  19      129.0
  PinPuw    201820931050 St0122  19       34.0
  SprPuw    201820931050 St0122  19       83.0
  Decids    201820931050 St0122  19       13.7
  ResStm    201820931050 St0122  19       55.0
  ResRot    201820931050 St0122  19       54.3
  PinPuw    201820931050 St0123  10       16.4
  SprPuw    201820931050 St0123  10       12.0
  ResRot    201820931050 St0123  10        4.9
  PinPuw    201820931050 St0123  14       15.3
  SprPuw    201820931050 St0123  14       16.9
  Decids    201820931050 St0123  14       40.0
  ResStm    201820931050 St0123  14       14.2
  ResRot    201820931050 St0123  14       11.9
  PinTim    201820931050 St0123  18       31.6
  SprTim    201820931050 St0123  18       33.2
  PinPuw    201820931050 St0123  18       10.3
  SprPuw    201820931050 St0123  18       23.3
  Decids    201820931050 St0123  18        2.9
  ResStm    201820931050 St0123  18       16.0
  ResRot    201820931050 St0123  18       15.5
  PinPuw    201820931050 St0124  10       16.4
  SprPuw    201820931050 St0124  10       12.0
  ResRot    201820931050 St0124  10        4.9
  PinPuw    201820931050 St0124  14       15.3
  SprPuw    201820931050 St0124  14       16.9
  Decids    201820931050 St0124  14       40.0
  ResStm    201820931050 St0124  14       14.2
  ResRot    201820931050 St0124  14       11.9
  PinTim    201820931050 St0124  18       31.6
  SprTim    201820931050 St0124  18       33.2
  PinPuw    201820931050 St0124  18       10.3
  SprPuw    201820931050 St0124  18       23.3
  Decids    201820931050 St0124  18        2.9
  ResStm    201820931050 St0124  18       16.0
  ResRot    201820931050 St0124  18       15.5
  PinTim    201820931050 St0124  22      121.6
  SprTim    201820931050 St0124  22      150.3
  PinPuw    201820931050 St0124  22       22.0
  SprPuw    201820931050 St0124  22       75.1
  Decids    201820931050 St0124  22       15.5
  ResStm    201820931050 St0124  22       54.3
  ResRot    201820931050 St0124  22       53.5
  PinPuw    201820931050 St0125  10       16.4
  SprPuw    201820931050 St0125  10       12.0
  ResRot    201820931050 St0125  10        4.9
  PinPuw    201820931050 St0125  14       15.3
  SprPuw    201820931050 St0125  14       16.9
  Decids    201820931050 St0125  14       40.0
  ResStm    201820931050 St0125  14       14.2
  ResRot    201820931050 St0125  14       11.9
  PinTim    201820931050 St0125  18       31.6
  SprTim    201820931050 St0125  18       33.2
  PinPuw    201820931050 St0125  18       10.3
  SprPuw    201820931050 St0125  18       23.3
  Decids    201820931050 St0125  18        2.9
  ResStm    201820931050 St0125  18       16.0
  ResRot    201820931050 St0125  18       15.5
  PinTim    201820931050 St0125  21      110.9
  SprTim    201820931050 St0125  21      133.1
  PinPuw    201820931050 St0125  21       23.1
  SprPuw    201820931050 St0125  21       71.0
  Decids    201820931050 St0125  21       13.7
  ResStm    201820931050 St0125  21       50.4
  ResRot    201820931050 St0125  21       49.2
  PinPuw    201820931050 St0126  10       16.4
  SprPuw    201820931050 St0126  10       12.0
  ResRot    201820931050 St0126  10        4.9
  PinPuw    201820931050 St0126  14       15.3
  SprPuw    201820931050 St0126  14       16.9
  Decids    201820931050 St0126  14       40.0
  ResStm    201820931050 St0126  14       14.2
  ResRot    201820931050 St0126  14       11.9
  PinTim    201820931050 St0126  18      105.3
  SprTim    201820931050 St0126  18      110.6
  PinPuw    201820931050 St0126  18       34.2
  SprPuw    201820931050 St0126  18       77.7
