COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  PinPuw    201815094122 St0060  20       13.4
  SprPuw    201815094122 St0060  20        5.7
  Decids    201815094122 St0060  20       36.3
  ResStm    201815094122 St0060  20       15.4
  ResRot    201815094122 St0060  20        9.3
  PinPuw    201815094122 St0061  19       22.9
  SprPuw    201815094122 St0061  19        8.7
  ResRot    201815094122 St0061  19        6.2
  PinPuw    201815094122 St0062  19       22.9
  SprPuw    201815094122 St0062  19        8.7
  ResRot    201815094122 St0062  19        6.2
  PinTim    201815094122 St0062  22       46.7
  SprTim    201815094122 St0062  22       22.6
  PinPuw    201815094122 St0062  22       41.0
  SprPuw    201815094122 St0062  22       22.0
  Decids    201815094122 St0062  22       59.5
  ResStm    201815094122 St0062  22       44.9
  ResRot    201815094122 St0062  22       30.8
  PinPuw    201815094122 St0064  22       16.4
  SprPuw    201815094122 St0064  22        8.2
  Decids    201815094122 St0064  22       51.2
  ResStm    201815094122 St0064  22       20.7
  ResRot    201815094122 St0064  22       12.3
  PinTim    201815094122 St0065  22       56.7
  SprTim    201815094122 St0065  22       26.2
  PinPuw    201815094122 St0065  22       55.6
  SprPuw    201815094122 St0065  22       29.8
  Decids    201815094122 St0065  22       56.9
  ResStm    201815094122 St0065  22       52.3
  ResRot    201815094122 St0065  22       36.8
  PinPuw    201815094122 St0066  21       14.6
  SprPuw    201815094122 St0066  21        6.7
  Decids    201815094122 St0066  21       44.2
  ResStm    201815094122 St0066  21       18.1
  ResRot    201815094122 St0066  21       10.7
  PinTim    201815094122 St0067  21       48.3
  PinPuw    201815094122 St0067  21       52.5
  SprPuw    201815094122 St0067  21       46.4
  Decids    201815094122 St0067  21       49.1
  ResStm    201815094122 St0067  21       46.7
  ResRot    201815094122 St0067  21       32.5
  PinPuw    201815094122 St0068  20       12.8
  SprPuw    201815094122 St0068  20        5.3
  Decids    201815094122 St0068  20       37.7
  ResStm    201815094122 St0068  20       15.7
  ResRot    201815094122 St0068  20        9.3
  PinPuw    201815094122 St0069  19       21.6
  SprPuw    201815094122 St0069  19        8.1
  ResRot    201815094122 St0069  19        5.9
  PinPuw    201815094122 St0070  19       21.6
  SprPuw    201815094122 St0070  19        8.1
  ResRot    201815094122 St0070  19        5.9
  PinTim    201815094122 St0070  22       47.5
  SprTim    201815094122 St0070  22       22.8
  PinPuw    201815094122 St0070  22       41.1
  SprPuw    201815094122 St0070  22       22.1
  Decids    201815094122 St0070  22       61.0
  ResStm    201815094122 St0070  22       45.7
  ResRot    201815094122 St0070  22       31.2
  SprTim    201815094122 St0071   5       70.9
  SprPuw    201815094122 St0071   5       66.1
  Decids    201815094122 St0071   5       97.2
  ResStm    201815094122 St0071   5       54.0
  ResRot    201815094122 St0071   5       37.5
  PinPuw    201815094122 St0072  19       24.1
  SprPuw    201815094122 St0072  19       10.1
  ResRot    201815094122 St0072  19        6.6
  PinPuw    201815094122 St0073  19       24.1
  SprPuw    201815094122 St0073  19       10.1
  ResRot    201815094122 St0073  19        6.6
  PinTim    201815094122 St0073  22       52.9
  SprTim    201815094122 St0073  22       28.4
  PinPuw    201815094122 St0073  22       43.6
  SprPuw    201815094122 St0073  22       24.5
  Decids    201815094122 St0073  22       66.9
  ResStm    201815094122 St0073  22       49.6
  ResRot    201815094122 St0073  22       34.3
  PinPuw    201815094122 St0074  19       13.3
  SprPuw    201815094122 St0074  19        5.6
  Decids    201815094122 St0074  19       36.0
  ResStm    201815094122 St0074  19       15.3
  ResRot    201815094122 St0074  19        9.2
  PinPuw    201815094122 St0075  19       13.3
  SprPuw    201815094122 St0075  19        5.6
  Decids    201815094122 St0075  19       36.0
  ResStm    201815094122 St0075  19       15.3
  ResRot    201815094122 St0075  19        9.2
  PinTim    201815094122 St0075  22       62.6
  SprTim    201815094122 St0075  22       32.9
